"Carimbo de data/hora","Age","Gender","Level of musical knowledge","What is your field of work or study?","Did you imagine a story while listening?","It was easy to imagine a story","I imagined a vivid story","I imagined a story with clear setting, characters, events","I imagined a story while listening, not after","If you imagined a story while listening describe the story in detail.
If not, why didn't you imagine a story?","The music sounded familiar","I found the music enjoyable","In case you imagined a story:
The story imaged matches the one used to compose the music","The music matches the story's emotional tone","The music reflects the story's pacing","Story events are represented musically","The overall musical structure follows the narrative arc","Additional comments"
"2025/02/06 3:14:38 da tarde GMT","38","Female","Basic (some informal experience or less than 2 years of training)","Visual Arts, Music, or Design","No","3","3","1","1","It seems a positive music, i smiled while listening to it. But there was no story coming to my mind. just a happy feeling.","2","6","1","5","5","5","4",""
"2025/02/06 4:16:18 da tarde GMT","34","Male","Advanced (more than 5 years of formal training)","Engineering or Computer Science","No","1","1","1","1","The composition wasn't really engaging and the sound of the midi piano is kind of disturbing for me","1","1","1","3","3","2","2","I am sorry but I did not see really any connection between the story and the composition. It seems quite a complex task highly subjective. "
"2025/02/06 4:33:25 da tarde GMT","22","Male","No musical training","Mathematics or Natural Sciences","No","4","1","3","6","I feel like I imagined glimpses of a story, purely because of the prompt, and the glimpses would be of a ""Link"" like character, doing random video game activities, which I would imagine happened due to music reminding me of simple RPG video games","5","5","4","4","5","4","4",""
"2025/02/06 4:46:05 da tarde GMT","24","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","Yes","4","5","3","4","walking through fast plains, with my friends","4","5","1","4","3","2","3",""
"2025/02/06 5:09:15 da tarde GMT","53","Male","Professional (music degree or professional experience)","Engineering or Computer Science","No","2","2","2","1","N/a","2","2","2","1","2","1","1","n/a"
"2025/02/06 5:35:53 da tarde GMT","27","Male","Professional (music degree or professional experience)","Visual Arts, Music, or Design","No","2","2","1","2","I don't know, it just didn't inspire a story.","2","3","2","1","3","3","3","The ""Mysterious wise woman helps hero"" feels to me a bit more sad and melancholic than mysterious. "
"2025/02/06 5:53:21 da tarde GMT","26","Male","Professional (music degree or professional experience)","Visual Arts, Music, or Design","Yes","5","4","5","6","happy stroll that started to turn out darker, with ""disney esc"" vibes, so sort of whimsical ","5","5","6","3","4","4","4","i would find the third part of the story could be more cheerful or ""grand"", following a more impactful chord progression to finish as it would need that grand finale"
"2025/02/06 9:38:18 da tarde GMT","27","Male","Professional (music degree or professional experience)","Visual Arts, Music, or Design","No","2","2","1","2","I believe the initial prompt of the form had a heavy impact on my predisposition to imagine, which made it difficult to let the mind drift into imagination. By specifically asking to not attempt to imagine, I believe it can be conflicting to the purpose of the experience.","3","4","3","4","5","4","4",""
"2025/02/07 12:48:08 da manhã GMT","26","Male","Advanced (more than 5 years of formal training)","Engineering or Computer Science","No","2","2","1","3","The composition seemed very abstract.","3","4","","1","1","1","1","I wish the song gave me romantic and heroic feelings, but, instead, seemed very out of emotion and rather playful."
"2025/02/07 4:08:40 da manhã GMT","28","Male","Intermediate (2-5 years of formal training)","Engineering or Computer Science","Yes","4","2","2","5","It was a little boy walking around in a Mario 2D like world, reminded o zelda in the game boy a bit too. Just exploring fields and towns.","4","4","3","5","3","3","5",""
"2025/02/07 6:40:20 da manhã GMT","36","Female","Professional (music degree or professional experience)","Literature, Theater, or Media","No","3","2","2","2","I didn't imagine a particular story. But the music reminded me of a situation, first of overcoming, then of a turning point or a problem, and in the end, a return to the positive.","4","5","5","5","5","5","5",""
"2025/02/07 9:47:43 da manhã GMT","29","Female","No musical training","Economics or Business","No","2","3","2","2","I didn't imagine a story while listening, only after. I guess I was focused on the instrumenta and range of notes, I wanted to be able to answer questions related to those even with no music training ","4","5","4","4","3","4","4",""
"2025/02/07 4:27:56 da tarde GMT","28","Male","No musical training","Visual Arts, Music, or Design","Yes","5","6","5","2","I’m focus trying to understand if I knew the melody","3","5","6","6","6","6","6",""
"2025/02/07 8:36:03 da tarde GMT","28","Female","No musical training","Visual Arts, Music, or Design","No","3","1","1","1","Conseguiria imaginar uma história, mas seria por QUERER imaginar uma história, e não por a música me ter induzido a isso. Normalmente as músicas transmitem-me mais sensações do que histórias.","3","4","","3","5","4","4",""
"2025/02/09 1:58:36 da tarde GMT","24","Male","Intermediate (2-5 years of formal training)","Engineering or Computer Science","Yes","5","2","4","4","While listening I imagined a knight in his castle walking through the fields, and eventually the castle was attacked and the knight had to go defend it. I did not imagine a conclusion to the story","2","6","4","5","3","5","6",""
