"Carimbo de data/hora","Age","Gender","Level of musical knowledge","What is your field of work or study?","Did you imagine a story while listening?","It was easy to imagine a story","I imagined a vivid story","I imagined a story with clear setting, characters, events","I imagined a story while listening, not after","If you imagined a story while listening describe the story in detail.
If not, why didn't you imagine a story?","The music sounded familiar","I found the music enjoyable","In case you imagined a story:
The story imaged matches the one used to compose the music","The music matches the story's emotional tone","The music reflects the story's pacing","Story events are represented musically","The overall musical structure follows the narrative arc","Additional comments"
"2025/02/06 1:31:13 da tarde GMT","29","Male","Intermediate (2-5 years of formal training)","Visual Arts, Music, or Design","No","3","2","2","2","I didn't. My first impression was that it sounded very mechanical, so I got caught up in that. It also didn't seem to vary a lot in terms of dynamics, and I think that's an important aspect when it comes to musical storytelling.","2","3","","4","2","4","3","With the story in mind, I could imagine it in the first half of the song, but then I got a bit lost"
"2025/02/06 1:39:50 da tarde GMT","33","Female","Professional (music degree or professional experience)","Engineering or Computer Science","No","2","2","1","4","There is no clear narrative structure to imagine","2","3","1","1","4","3","2","I tried to imagine the three steps of the provided story but was hard to figure out the boundary between events"
"2025/02/06 2:14:04 da tarde GMT","24","Male","Basic (some informal experience or less than 2 years of training)","Visual Arts, Music, or Design","No","2","1","1","1","I didn't image a story, but I did imagine this music being present in an adventure fantasy videogame","4","5","","5","5","4","5","I didn't imagine a story with a sequence per se, but I imagined some frames of what the 3 statements would look like, with the music segment playing out"
"2025/02/06 2:41:31 da tarde GMT","12345","Prefer not to say","Professional (music degree or professional experience)","Visual Arts, Music, or Design","No","1","1","1","1","na","6","3","1","1","2","1","4",""
"2025/02/06 3:46:32 da tarde GMT","24","Male","Basic (some informal experience or less than 2 years of training)","Visual Arts, Music, or Design","Yes","5","2","1","6","The story I imagined is not very well defined, but it came to my mind an image of a knight with his horse fighting some kind of evil. ","4","4","5","4","3","3","4","I think that the end of the song don't fully match entirely the action of the hero defeating the dragon. It felt to me as the action was not over. "
"2025/02/06 4:20:45 da tarde GMT","37","Female","No musical training","Engineering or Computer Science","No","2","1","1","2","No story pumped up in my mind. In the beginning of the music the feeling is sad and in the end it just feel messy.","3","1","2","3","2","2","2",""
"2025/02/06 6:05:43 da tarde GMT","32","Female","No musical training","Economics or Business","No","1","1","1","1","the rhythm sounds messy and doesnt make sense for me","1","2","3","4","5","3","5",""
"2025/02/06 7:23:36 da tarde GMT","33","Female","Intermediate (2-5 years of formal training)","Engineering or Computer Science","No","4","2","2","2","I just quickly imagined something similar to the movie ""Call me by your name"", when they were playing beach volleyball. Then it just snapped away for some reason.","4","3","3","4","5","4","3","I imagined a very different scene from the very beginning, so it's hard for me to agree with the given narrative anymore. It's just how I am wired in my brain."
"2025/02/06 8:24:50 da tarde GMT","42","Female","Intermediate (2-5 years of formal training)","Engineering or Computer Science","Yes","5","4","2","6","I just imagined a landscape of a lake, and I was walking in first-person, going closer to the lake. I crossed some trees with long branches hanging from the tree. A landscape like a Monet painting. ","6","6","2","1","1","1","2",""
"2025/02/07 4:11:59 da tarde GMT","30","Male","No musical training","Engineering or Computer Science","No","4","5","3","4","The music is not long enough.","2","5","4","4","4","5","5",""
"2025/02/09 4:25:53 da manhã GMT","22","Male","Advanced (more than 5 years of formal training)","Visual Arts, Music, or Design","No","4","2","2","1","I was focused on paying attention to the song and trying to memorize it as much as possible in case I needed to answer later questions in the questionnaire.","4","5","4","3","5","4","4",""
